# Source: US Census Bureau - Population Estimates (2023)
city,state
Abbeville,Alabama
Adamsville,Alabama
Addison,Alabama
Akron,Alabama
Alabaster,Alabama
Albertville,Alabama
Alexander,Alabama
Aliceville,Alabama
Allgood,Alabama
Altoona,Alabama
Andalusia,Alabama
Anderson,Alabama
Anniston,Alabama
Arab,Alabama
Ardmore,Alabama
Argo,Alabama
Ariton,Alabama
Arley,Alabama
Ashford,Alabama
Ashland,Alabama
Ashville,Alabama
Athens,Alabama
Atmore,Alabama
Attalla,Alabama
Auburn,Alabama
Autaugaville,Alabama
Avon,Alabama
Babbie,Alabama
Baileyton,Alabama
Bakerhill,Alabama
Banks,Alabama
Bay Minette,Alabama
Bayou La Batre,Alabama
Bear Creek,Alabama
Beatrice,Alabama
Beaverton,Alabama
Belk,Alabama
Benton,Alabama
Berlin,Alabama
Berry,Alabama
Bessemer,Alabama
Billingsley,Alabama
Birmingham,Alabama
Black,Alabama
Blountsville,Alabama
Blue Springs,Alabama
Boaz,Alabama
Boligee,Alabama
Bon Air,Alabama
Brantley,Alabama
Brent,Alabama
Brewton,Alabama
Bridgeport,Alabama
Brighton,Alabama
Brilliant,Alabama
Brookside,Alabama
Brookwood,Alabama
Brundidge,Alabama
Butler,Alabama
Calera,Alabama
Camden,Alabama
Camp Hill,Alabama
Carbon Hill,Alabama
Cardiff,Alabama
Carolina,Alabama
Carrollton,Alabama
Castleberry,Alabama
Cedar Bluff,Alabama
Center Point,Alabama
Centre,Alabama
Centreville,Alabama
Chatom,Alabama
Chelsea,Alabama
Cherokee,Alabama
Chickasaw,Alabama
Childersburg,Alabama
Citronelle,Alabama
Clanton,Alabama
Clay,Alabama
Clayhatchee,Alabama
Clayton,Alabama
Cleveland,Alabama
Clio,Alabama
Coaling,Alabama
Coffee Springs,Alabama
Coffeeville,Alabama
Coker,Alabama
Collinsville,Alabama
Colony,Alabama
Columbia,Alabama
Columbiana,Alabama
Coosada,Alabama
Cordova,Alabama
Cottonwood,Alabama
County Line,Alabama
Courtland,Alabama
Cowarts,Alabama
Creola,Alabama
Crossville,Alabama
Cuba,Alabama
Cullman,Alabama
Cusseta,Alabama
Dadeville,Alabama
Daleville,Alabama
Daphne,Alabama
Dauphin Island,Alabama
Daviston,Alabama
Dayton,Alabama
Deatsville,Alabama
Decatur,Alabama
Demopolis,Alabama
Detroit,Alabama
Dodge,Alabama
Dora,Alabama
Dothan,Alabama
Double Springs,Alabama
Douglas,Alabama
Dozier,Alabama
Dutton,Alabama
